n1,n2,t1,t2,phi1,phi2,R_mean
1.4038788068254555,2.075088221060764,1.2616902680531487e-07,8.615308362662748e-08,1.2881892567983588,1.3001836293940192,0.08712662691311322
1.4932729674423806,1.9881224334289684,1.5617375401676515e-07,7.572011204662314e-08,1.696073055252591,1.0948425703392477,0.13098100532658366
1.5288241284121065,2.488229876502466,5.4663219941492895e-08,8.481969721456568e-08,0.6077850878781975,1.5349156707285476,0.07157740555825569
1.4785497413939297,2.3305416798723435,9.177412684364704e-08,4.808915435151582e-08,0.9868553564460222,0.8150820259347061,0.09231825661650393
1.2662289557163933,2.3722371551362436,1.6518282678715948e-07,2.4966087592018585e-08,1.5211583873817223,0.430730768030345,0.1136177795019268
1.6707921889889885,1.5350156311486252,5.009909385245346e-08,1.1714308322751406e-07,0.6087649067934944,1.3077561006194793,0.06884963667492203
1.470808265786753,2.340483581435107,1.2465552457236763e-07,1.1399900689815711e-07,1.3334136430328871,1.940456755963958,0.06965733190051086
1.784146837870214,1.840215297459988,1.3240658149859453e-07,1.3291780308124234e-07,1.7180566086830706,1.7788899966172835,0.09975962613688256
1.8757799924515326,1.5125629273747738,1.3099696247761976e-07,3.807314657442628e-08,1.787065318454133,0.41882203663260403,0.07287815240907114
1.5224926996727912,1.9146635397524614,1.6832417585890085e-07,7.100685828174546e-08,1.8637987558081135,0.9887581281776592,0.11997709812500197
1.576834139087803,2.1918786723440133,2.8980984411192824e-08,8.18385537502687e-08,0.3323505862104747,1.3045831312050409,0.1348276626996966
1.5143934682639109,2.094008639621445,3.892989160743217e-08,2.5900928948656084e-08,0.4287648986946714,0.3944492290378693,0.1364492957651907
1.2420354699587721,2.3695006756571733,1.0029915831303179e-07,6.022581475501728e-08,0.9060008162312416,1.0378553363928524,0.18018543506152915
1.4121330247233506,2.214370130066009,7.216204728542735e-08,2.5847957963275418e-08,0.7411084371156361,0.416268698451483,0.08819300683872029
1.4025399147263717,2.227835535187443,1.8190125974445625e-07,2.384805330747559e-08,1.8554456533135217,0.3863966589340985,0.10695816470140425
1.7483968967038677,1.5661801549500844,6.780034880048891e-08,2.9666435274258027e-08,0.8621230504597426,0.33791259777930244,0.10733325727052839
1.8292333591660497,2.206788995200127,6.972066185845337e-08,5.867370035841163e-08,0.9275298945063194,0.9416761909717276,0.05686292125020345
